,results
932,0.12723961
933,0.09251022
934,0.106836975
935,0.2110444
936,0.13874057
937,0.33861727
938,0.99997115
939,0.1303154
940,0.042565316
941,0.967759
942,0.034272194
943,0.400182
944,0.6346654
945,0.1295737
946,0.03933403
947,0.46365136
948,0.010663062
949,0.6327965
950,0.18697861
951,0.3626505
952,7.748604e-07
953,0.999591
954,0.9141449
955,0.10696176
956,0.3112998
957,0.5008911
958,0.7194309
959,0.99999195
960,0.402793
961,0.3819046
962,0.6770322
963,0.20897132
964,0.08817497
965,0.7562835
966,0.44644094
967,0.14863989
968,0.10515168
969,0.18548709
970,3.874302e-07
971,0.017218888
972,0.10844028
973,0.087966055
974,0.1801103
975,0.026249975
976,0.009059638
977,0.45302674
978,0.0068626106
979,0.4863725
980,0.023405194
981,0.017945051
982,0.010283321
983,0.7014416
984,0.7946473
985,0.02063784
986,4.172325e-07
987,0.99943864
988,1.0
989,0.9999608
990,0.29138356
991,0.44853213
992,0.5450472
993,0.62892795
994,0.28208494
995,0.57912976
996,0.50057834
997,0.92554784
998,0.37294978
999,0.08276087
1000,0.11988297
1001,0.26601455
1002,0.21556962
1003,0.45477158
1004,0.17360303
1005,0.09128207
1006,0.03079784
1007,0.012455195
1008,0.028888315
1009,4.172325e-07
1010,2.5629997e-06
1011,0.008778781
1012,0.7780527
1013,0.061644197
1014,0.5732049
1015,0.020329714
1016,0.17138708
1017,0.28866982
1018,0.0055654943
1019,0.01036492
1020,0.024376422
1021,0.9995663
1022,0.99996
1023,0.36368245
1024,0.24640933
1025,0.52250963
1026,0.99999535
1027,0.562412
1028,0.60976565
1029,0.6167567
1030,0.46310514
1031,0.6745728
1032,0.38798213
1033,0.7439331
1034,0.41593063
1035,0.52634215
1036,0.28560716
1037,0.61301786
1038,0.1800659
1039,0.18365869
1040,0.116214305
1041,0.5295075
1042,0.0867272
1043,0.60203
1044,0.59788084
1045,0.10054675
1046,5.662441e-07
1047,0.072512954
1048,3.5762787e-07
1049,0.09794372
1050,0.03445506
1051,0.024579644
1052,0.07402849
1053,0.021643698
1054,0.024533689
1055,0.99511135
1056,0.99997914
1057,0.317836
1058,0.5684375
1059,0.5949669
1060,0.74788904
1061,0.7255837
1062,0.48924717
1063,0.5020663
1064,0.9036728
1065,0.23406789
1066,0.63350546
1067,0.27110672
1068,0.435348
1069,0.38593197
1070,0.13079703
1071,0.5460971
1072,0.24737006
1073,0.18437752
1074,0.18793565
1075,0.99996877
1076,0.6769437
1077,0.43544307
1078,0.31290954
1079,5.066395e-07
1080,0.049645007
1081,0.09901747
1082,0.10624525
1083,0.030341744
1084,0.16481647
1085,7.4505806e-07
1086,0.08179408
1087,0.98881
1088,0.034709245
1089,0.11050764
1090,0.98840034
1091,4.440546e-06
1092,0.8453602
1093,0.76491153
1094,0.6538055
1095,0.9056464
1096,0.96940005
1097,0.8459965
1098,0.12672988
1099,0.3558551
1100,0.23222607
1101,0.3855433
1102,0.26055562
1103,0.3043515
1104,0.2073577
1105,0.1754728
1106,0.13182339
1107,0.116000324
1108,0.14673626
1109,0.099455625
1110,0.02950713
1111,0.29305106
1112,0.055621028
1113,0.1284881
1114,0.041686684
1115,0.8437753
1116,0.07561374
1117,0.06799665
1118,0.038267374
1119,0.09630144
1120,0.12312183
1121,0.12786585
1122,0.07628393
1123,0.045892566
1124,0.016301125
1125,1.0728836e-06
1126,0.38504404
1127,0.53941935
1128,0.5765225
1129,0.67277753
1130,0.31488538
1131,0.8798121
1132,0.6421653
1133,0.98250747
1134,0.90931857
1135,0.91315484
1136,0.27730852
1137,0.16726467
1138,0.17657211
1139,0.20737442
1140,0.3180244
1141,0.23267215
1142,0.5257978
