,results
1158,0.93257374
1159,0.1385133
1160,0.044065118
1161,2.9802322e-07
1162,0.492272
1163,8.940697e-08
1164,0.28825217
1165,0.90820575
1166,0.00023815036
1167,0.0
1168,2.3841858e-07
1169,0.004008621
1170,0.006727338
1171,0.19127974
1172,0.015027106
1173,0.00063604116
1174,0.9999714
1175,0.8710494
1176,0.04529938
1177,0.0021592379
1178,0.072407335
1179,0.33719558
1180,8.34465e-07
1181,0.07651311
1182,0.0012927055
1183,0.89464414
1184,0.99776065
1185,0.090581805
1186,0.00060880184
1187,0.0048593283
1188,0.0009596646
1189,0.00010839105
1190,6.3180923e-06
1191,0.012228698
1192,0.3777744
1193,0.0046649277
1194,0.560692
1195,7.987022e-06
1196,0.4456138
1197,0.99999434
1198,0.9982017
1199,0.0027770102
1200,0.34294564
1201,0.028787553
1202,0.0038873255
1203,0.99958956
1204,0.00050601363
1205,0.016098201
1206,0.98581326
1207,0.3477239
1208,0.9996222
1209,0.1408984
1210,0.9999938
1211,4.5865774e-05
1212,0.0007761717
1213,0.0056097507
1214,1.0341406e-05
1215,8.4638596e-05
1216,0.00018748641
1217,0.98626935
1218,4.0084124e-05
1219,0.17450112
1220,0.0
1221,0.00057309866
1222,0.99425215
1223,2.2649765e-06
1224,0.5533548
1225,0.99999684
1226,0.0
1227,1.6987324e-06
1228,0.0
1229,0.007341534
1230,0.03523004
1231,0.5900767
1232,0.00031158328
1233,0.998746
1234,0.007628739
1235,0.9989797
1236,0.0006348789
1237,0.0010142922
1238,0.09471288
1239,0.00020825863
1240,0.0020383596
1241,0.009903163
1242,0.0005619526
1243,0.32245988
1244,0.99994123
1245,0.0023902953
1246,0.015654087
1247,0.13273254
1248,0.028246462
1249,0.784547
1250,0.2191464
1251,0.017851204
1252,0.15185711
1253,0.4883085
1254,0.30145007
1255,1.1563301e-05
1256,0.00014215708
1257,5.6922436e-06
1258,0.99483466
1259,0.9984785
1260,0.0004902482
1261,7.4505806e-07
1262,0.00033846498
1263,0.0027419627
1264,2.4616718e-05
1265,0.0023680925
1266,0.64103895
1267,0.042920053
1268,0.00044295192
1269,0.09219831
1270,0.00019204617
1271,0.9972649
1272,0.99756503
1273,2.9802322e-08
1274,0.0001103878
1275,0.18457669
1276,0.74132526
1277,0.024930447
1278,8.738041e-05
1279,0.0023727417
1280,9.7215176e-05
1281,0.0003503859
1282,0.007521987
1283,0.02676621
1284,0.0
1285,0.0014734864
1286,0.22950771
1287,1.7613173e-05
1288,0.0002194941
1289,5.9604645e-08
1290,9.602308e-05
