round_epochs,val_loss,val_acc,loss,acc,first_layer,second_layer,batch_size,epochs
40,0.238634629,0.936807095,0.213413218,0.928639392,512,64,64,40
80,0.258746484,0.935698448,0.211922961,0.928639391,32,64,64,80
80,0.229326018,0.923503326,0.213654703,0.928639391,16,32,64,80
160,0.262263101,0.93126386,0.220608548,0.928163654,256,256,512,160
80,0.251576725,0.929046563,0.223080952,0.926736442,64,8,64,80
320,0.245182346,0.927937912,0.223511144,0.926736442,32,8,256,320
160,0.247985662,0.935698446,0.220227634,0.926736441,128,32,256,160
40,0.244405079,0.917960089,0.223376348,0.926260704,512,8,64,40
160,0.244393759,0.930155208,0.213697444,0.924833491,128,8,256,160
80,0.266298616,0.915742794,0.233230494,0.924833491,128,32,128,80
160,0.251527419,0.920177384,0.226356972,0.924357755,16,64,128,160
80,0.24927732,0.920177384,0.215374748,0.923882016,8,256,64,80
80,0.248143419,0.932372506,0.212327646,0.92340628,256,16,128,80
160,0.240268271,0.917960089,0.229753328,0.92340628,8,32,128,160
80,0.243039576,0.925720618,0.226940438,0.92340628,512,256,256,80
160,0.234667146,0.917960089,0.225278339,0.92340628,8,128,128,160
40,0.226453066,0.923503326,0.227031365,0.922454805,128,512,64,40
80,0.258158798,0.926829268,0.244262889,0.92150333,128,128,128,80
80,0.235690175,0.931263858,0.21645022,0.921027593,16,256,64,80
160,0.25782924,0.922394675,0.233610214,0.921027593,64,128,256,160
320,0.274230445,0.907982264,0.231941544,0.920551856,32,32,512,320
80,0.250395665,0.930155211,0.235042779,0.920551855,128,64,128,80
40,0.239456772,0.937915743,0.220599437,0.920076119,512,32,64,40
160,0.243272425,0.925720621,0.226866925,0.920076118,16,8,128,160
320,0.251168581,0.916851439,0.227530178,0.91960038,8,64,256,320
40,0.30089909,0.929046563,0.261853868,0.919124643,256,128,64,40
160,0.249050677,0.912416851,0.227912525,0.918648906,8,64,128,160
80,0.268960085,0.926829268,0.21887077,0.917221694,32,16,64,80
80,0.292710376,0.920177387,0.248536574,0.917221694,256,512,256,80
160,0.27047724,0.911308206,0.247716799,0.916270219,512,16,512,160
320,0.26467146,0.909090911,0.237173166,0.916270219,16,128,512,320
80,0.26294242,0.919068733,0.235839669,0.916270219,512,128,256,80
160,0.277561457,0.909090909,0.231619368,0.915794481,32,256,256,160
320,0.275379163,0.901330366,0.241684915,0.914843007,16,256,512,320
80,0.278261521,0.920177384,0.253125743,0.913891532,32,256,128,80
40,0.266701872,0.923503326,0.237489675,0.912940057,256,32,64,40
320,0.288944759,0.905764969,0.248453623,0.911037107,64,32,512,320
160,0.341680705,0.907982264,0.279124817,0.910561369,256,128,512,160
80,0.241919176,0.924611973,0.235694802,0.909134158,8,128,64,80
160,0.282322164,0.889135254,0.260803287,0.908182684,8,512,256,160
160,0.267563764,0.905764967,0.241078201,0.907706946,16,32,128,160
40,0.341914704,0.899113082,0.270828946,0.905328259,128,256,64,40
40,0.262055584,0.914634146,0.240984897,0.904852521,512,16,64,40
