round_epochs,val_loss,val_acc,loss,acc,first_layer,batch_size,epochs
80,0.41168004578338757,0.8248337028824834,0.4013441348790442,0.8301617502031953,64,128,80
160,0.5397018894652306,0.7394678555676784,0.5328949679656896,0.7307326360955678,8,512,160
320,0.07950193578265854,0.9889135254988913,0.06345015972654214,0.9881065654595844,512,128,320
160,0.34121852155006643,0.8592017739680813,0.3402015323530028,0.8653663172821676,16,64,160
40,0.5687222057858486,0.7261640736110458,0.5681255657711446,0.7083729783429292,128,512,40
160,0.48115461873109483,0.801552111452276,0.47046187103191633,0.7949571839749076,64,512,160
80,0.3658917466975633,0.8425720622164182,0.36152691355100935,0.8515699327162172,32,64,80
10,0.5872672229278378,0.7250554323725056,0.584729739816613,0.7078972400992853,32,64,10
80,0.5038139123610013,0.7572062084257206,0.4997791447716594,0.7492863946478215,16,128,80
320,0.3192415569151056,0.8691796039266226,0.31297767579158525,0.8867744999653265,128,512,320
160,0.5696020536042106,0.7261640841839319,0.5697932901210041,0.7121788776000265,8,256,160
40,0.7218413956942421,0.7261640832588043,0.71297218587487,0.709800190805368,8,256,40
40,0.4853010997010969,0.7971175196694165,0.4750842675495783,0.7792578490431483,512,256,40
20,0.5417288062049121,0.7350332594235033,0.549426921938398,0.7278782108871286,256,128,20
80,0.20053262757488471,0.9434589800443459,0.21871361064128259,0.9324452900863851,256,64,80
160,0.4059923885931197,0.828159648801165,0.3887773459576971,0.8339676501975527,64,256,160
160,0.1597270280981804,0.9600886917960089,0.16545601515232325,0.9633682213092735,64,64,160
20,0.5667955732662767,0.7272727316340427,0.5698517986301237,0.7083729773788198,128,256,20
320,0.0566462823922876,0.991130820399113,0.05327803910055068,0.9928639393891753,256,64,320
20,0.5605562470704647,0.7272727316340427,0.552354245669041,0.7131303513084106,256,256,20
40,0.5175639561433221,0.7760532150776053,0.5075360264923321,0.7454804951071625,64,128,40
320,0.05130562053873573,0.9889135254988913,0.06474420746573939,0.9876308283501869,512,64,320
320,0.16349287539257973,0.958980044345898,0.15821284205997477,0.9666983830599871,64,128,320
20,0.4883848156474382,0.79490022172949,0.4987536890239062,0.7583254044334964,512,128,20
80,0.3705720594875564,0.8580931262536482,0.3574860040683274,0.8515699338504635,128,128,80
320,0.33841345315497623,0.8614190686039809,0.31928672830793087,0.874881065254774,8,128,320
10,0.606106382515901,0.7250554323725056,0.603685700133457,0.7107516650241631,32,128,10
80,0.40804027348029903,0.8237250554323725,0.39989040960707517,0.8311132261233597,16,64,80
320,0.06470234762720285,0.991130820399113,0.05606547090535954,0.9919124643196955,128,64,320
40,0.6530851483873676,0.7206208364926526,0.7401809027714462,0.6941008565541565,8,512,40
40,0.55872732995619,0.7283813813308919,0.5552362516082887,0.7231208378082224,256,512,40
160,0.39803833549144263,0.8370288161110719,0.3832868569301039,0.8501427209910385,256,512,160
10,1.126715496479804,0.6651884778640222,1.0504288653551568,0.6546146522580046,8,512,10
10,0.657446318085072,0.7028824833702882,0.645255301704189,0.7007611797720222,8,64,10
20,0.548001175048346,0.7350332594235033,0.5494688718688704,0.7164605135695351,128,128,20
10,0.5490024981900488,0.7439024390243902,0.5632890718647914,0.7221693627387427,512,128,10
20,0.7038436687970637,0.7128603147826015,0.6443702439032318,0.70599429177512,32,256,20
80,0.2615054117602414,0.9079822616407982,0.26022217979213375,0.9129400572586241,128,64,80
80,0.4910280568372384,0.7749445676274944,0.4866103172926082,0.7645099904285398,32,128,80
160,0.2661341052758456,0.8980044345898004,0.26607966142308703,0.904376783901799,32,64,160
40,0.3957444272125904,0.8436807096665292,0.3936052899435517,0.832064700739141,512,128,40
320,0.5508822948070957,0.7261640864306701,0.5422583975528786,0.7155090386701923,8,512,320
20,0.5297909331427445,0.7649667405764967,0.5180668708372979,0.7364414850379262,64,64,20
20,0.6596872981001691,0.7250554389805592,0.684387432349284,0.7069457663909012,32,512,20
80,0.5729615887887197,0.7283813685112677,0.5760014173419673,0.706945765993915,16,512,80
80,0.5446657108890508,0.7283813813308919,0.536980357031727,0.7207421499927422,64,512,80
10,0.5962454096440994,0.7283813813308919,0.6182918807759271,0.7083729776623814,512,512,10
40,0.5541761243951294,0.7261640798226164,0.5537222417959364,0.711703139242958,32,128,40
